***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
*    34106 *        0 *     34106 * 10.564055 * 902.80705 *
*    34124 *        0 *     34124 * 2.3731974 * 700.45984 *
*    34295 *        0 *     34295 * 2.8532546 * 456.39789 *
*    34347 *        0 *     34347 * 16.214272 *  1381.045 *
*    34387 *        0 *     34387 * 27.734467 * 1548.8195 *
*    34459 *        0 *     34459 * 2.5103166 * 412.68261 *
*    34799 *        0 *     34799 * 4.7220745 * 836.36962 *
*    35890 *        0 *     35890 * 27.270945 * 2056.7447 *
*    36386 *        0 *     36386 * 8.8524909 * 1406.8188 *
*    36962 *        0 *     36962 * 14.111109 * 1333.7939 *
*    37114 *        0 *     37114 * 5.5464144 * 689.18621 *
*    37413 *        0 *     37413 * 12.466649 * 1432.1626 *
*    37570 *        0 *     37570 * 33.933794 * 2156.6556 *
*    37624 *        0 *     37624 * 33.631083 * 2585.0059 *
*    37766 *        0 *     37766 * 33.678135 * 2212.0415 *
*    38615 *        0 *     38615 * 17.757196 * 1949.4305 *
*    38701 *        0 *     38701 * 6.6495805 * 892.58537 *
*    38711 *        0 *     38711 * 26.883838 * 2787.1379 *
*    38838 *        0 *     38838 * 19.327347 * 2184.3046 *
*    38947 *        0 *     38947 * 11.807161 * 1349.7096 *
*    38980 *        0 *     38980 * 6.1209048 * 772.37178 *
*    39321 *        0 *     39321 * 28.537342 * 3028.3404 *
*    39730 *        0 *     39730 * 16.998733 * 1279.3120 *
*    39907 *        0 *     39907 * 16.208761 * 2020.2330 *
*    39921 *        0 *     39921 * 2.6664584 * 631.02835 *
*    40304 *        0 *     40304 * 13.780087 * 1567.4637 *
*    40923 *        0 *     40923 * 7.3132680 * 724.57753 *
*    41158 *        0 *     41158 * 6.3843897 * 365.68504 *
*    41868 *        0 *     41868 * 18.860872 * 1497.3329 *
*    42001 *        0 *     42001 * 24.367169 * 2238.0681 *
*    42464 *        0 *     42464 * 13.406702 * 1144.3927 *
*    42567 *        0 *     42567 * 24.437223 * 1748.6671 *
*    42593 *        0 *     42593 * 10.132620 * 717.04692 *
*    42609 *        0 *     42609 * 7.2509483 * 939.70596 *
*    42615 *        0 *     42615 * 6.1145005 * 1353.2552 *
*    42962 *        0 *     42962 * 14.642330 * 862.18354 *
*    43208 *        0 *     43208 * 16.625973 * 2348.3860 *
*    43735 *        0 *     43735 * 6.5558400 * 1264.3504 *
*    43859 *        0 *     43859 * 8.9531914 * 1255.4676 *
*    44261 *        0 *     44261 * 26.249602 * 1472.6030 *
*    44318 *        0 *     44318 * 15.232611 * 1003.7156 *
*    44531 *        0 *     44531 * 6.2397680 * 939.80346 *
*    44660 *        0 *     44660 * 17.469867 * 1451.6803 *
*    44891 *        0 *     44891 * 13.439182 * 1815.1908 *
*    45085 *        0 *     45085 * 28.011231 * 2034.9521 *
*    45461 *        0 *     45461 * 21.263208 * 1967.4044 *
*    45511 *        0 *     45511 * 10.435752 * 1427.1182 *
*    45527 *        0 *     45527 * 4.7479243 * 778.54338 *
