 0.000000+0 1.879900-1 0.000000+0 1.130300-1 0.000000+0 4.365200-3 128 6 50  110
 0.000000+0 3.600000+6          0          0          6          6 128 6 50  111
 0.000000+0 1.911500-1 0.000000+0 1.211600-1 0.000000+0 5.264400-3 128 6 50  112
 0.000000+0 3.800000+6          0          0          6          6 128 6 50  113
 0.000000+0 1.946900-1 0.000000+0 1.290800-1 0.000000+0 6.283200-3 128 6 50  114
 0.000000+0 4.000000+6          0          0          6          6 128 6 50  115
 0.000000+0 1.985600-1 0.000000+0 1.367700-1 0.000000+0 7.428000-3 128 6 50  116
 0.000000+0 4.500000+6          0          0          6          6 128 6 50  117
 0.000000+0 2.095200-1 0.000000+0 1.548000-1 0.000000+0 1.087900-2 128 6 50  118
 0.000000+0 5.000000+6          0          0          6          6 128 6 50  119
 0.000000+0 2.218200-1 0.000000+0 1.707800-1 0.000000+0 1.522400-2 128 6 50  120
 0.000000+0 5.500000+6          0          0          6          6 128 6 50  121
 0.000000+0 2.347500-1 0.000000+0 1.843200-1 0.000000+0 2.049200-2 128 6 50  122
 0.000000+0 6.000000+6          0          0          6          6 128 6 50  123
 0.000000+0 2.474800-1 0.000000+0 1.950100-1 0.000000+0 2.666700-2 128 6 50  124
 0.000000+0 6.500000+6          0          0          6          6 128 6 50  125
 0.000000+0 2.590300-1 0.000000+0 2.023800-1 0.000000+0 3.368900-2 128 6 50  126
 0.000000+0 7.000000+6          0          0          6          6 128 6 50  127
 0.000000+0 2.682900-1 0.000000+0 2.058900-1 0.000000+0 4.144800-2 128 6 50  128
 0.000000+0 7.500000+6          0          0          6          6 128 6 50  129
 0.000000+0 2.740300-1 0.000000+0 2.049800-1 0.000000+0 4.978400-2 128 6 50  130
 0.000000+0 8.000000+6          0          0          6          6 128 6 50  131
 0.000000+0 2.749900-1 0.000000+0 1.991700-1 0.000000+0 5.847000-2 128 6 50  132
 0.000000+0 8.500000+6          0          0          6          6 128 6 50  133
 0.000000+0 2.700900-1 0.000000+0 1.883700-1 0.000000+0 6.721400-2 128 6 50  134
 0.000000+0 9.000000+6          0          0          6          6 128 6 50  135
 0.000000+0 2.586900-1 0.000000+0 1.730500-1 0.000000+0 7.567800-2 128 6 50  136
 0.000000+0 9.500000+6          0          0          6          6 128 6 50  137
 0.000000+0 2.407600-1 0.000000+0 1.543900-1 0.000000+0 8.350000-2 128 6 50  138
 0.000000+0 1.000000+7          0          0          6          6 128 6 50  139
 0.000000+0 2.170100-1 0.000000+0 1.341900-1 0.000000+0 9.027900-2 128 6 50  140
 2.003000+3 2.989000+0          0          4          1          2 128 6 50  141
          2          2                                             128 6 50  142
 1.000000+2 1.000000+0 1.000000+7 1.000000+0                       128 6 50  143
 0.000000+0 0.000000+0          0          0          0          0 128 6  099999
